# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    2.28e+01  1.91e+01    1.02e+01  1.02e+01    7.12e-01  5.93e-01    5.0e-03
    100    2.23e+01  2.65e+01    1.34e+00  1.32e+00    7.04e-01  8.38e-01    5.0e-03
    200    2.21e+01  2.02e+01    2.89e-01  2.99e-01    7.00e-01  6.39e-01    5.0e-03
    300    2.22e+01  1.12e+01    8.06e-02  1.42e-03    7.02e-01  3.53e-01    5.0e-03
    400    2.18e+01  2.11e+01    4.13e-01  4.20e-01    6.88e-01  6.67e-01    5.0e-03
    500    2.18e+01  2.17e+01    2.94e-01  3.16e-01    6.90e-01  6.86e-01    5.0e-03
    600    2.19e+01  1.29e+01    8.68e-01  9.06e-01    6.92e-01  4.07e-01    5.0e-03
    700    2.04e+01  2.45e+01    3.04e-01  2.75e-01    6.44e-01  7.74e-01    5.0e-03
    800    2.04e+01  8.57e+00    5.67e-01  5.08e-01    6.44e-01  2.71e-01    5.0e-03
    900    1.57e+01  1.35e+01    3.05e-01  3.33e-01    4.96e-01  4.26e-01    5.0e-03
   1000    1.70e+01  9.67e+00    3.76e-01  3.54e-01    5.37e-01  3.06e-01    5.0e-03
   1100    1.86e+01  1.28e+01    3.62e-01  3.83e-01    5.89e-01  4.03e-01    5.0e-03
   1200    1.59e+01  9.30e+00    1.43e-01  1.18e-01    5.04e-01  2.94e-01    5.0e-03
   1300    1.43e+01  1.10e+01    2.97e-01  2.75e-01    4.51e-01  3.49e-01    5.0e-03
   1400    1.51e+01  9.55e+00    1.38e-01  9.60e-02    4.77e-01  3.02e-01    5.0e-03
   1500    1.54e+01  1.12e+01    9.89e-02  1.18e-01    4.86e-01  3.54e-01    5.0e-03
   1600    1.35e+01  1.23e+01    4.96e-02  2.88e-02    4.28e-01  3.90e-01    5.0e-03
   1700    1.56e+01  1.93e+01    5.63e-02  2.86e-02    4.93e-01  6.12e-01    5.0e-03
   1800    1.69e+01  8.77e+00    2.59e-01  2.63e-01    5.34e-01  2.77e-01    5.0e-03
   1900    1.38e+01  9.89e+00    6.60e-02  1.08e-01    4.36e-01  3.13e-01    5.0e-03
   2000    1.31e+01  2.44e+01    4.17e-02  5.85e-02    4.15e-01  7.71e-01    5.0e-03
   2100    1.36e+01  1.01e+01    2.72e-01  2.22e-01    4.32e-01  3.19e-01    5.0e-03
   2200    1.30e+01  8.48e+00    5.14e-02  3.34e-02    4.13e-01  2.68e-01    5.0e-03
   2300    1.51e+01  1.20e+01    9.20e-02  4.57e-02    4.79e-01  3.79e-01    5.0e-03
